School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Diversity
Woonona East Public School,Lakemba,Independent,369,203,166,37
Woronora River Public School,Chisholm,Catholic,566,288,278,6
Woy Woy Public School,Oran Park,Government,1512,712,800,53
Wyalong Public School,North Kellyville,Independent,449,237,212,0
Wyangala Dam Public School,North Strathfield,Catholic,272,148,124,77
Wycliffe Christian School,Concord West,Government,270,119,151,0
Wyee Public School,Arncliffe,Independent,61,30,31,11
Wyoming Public School,Googong,Independent,245,119,126,4
Wyong Public School,Austral,Independent,597,277,320,8
Wyrallah Public School,Chatswood,Independent,40,26,14,6
Yagoona Public School,Yarramalong,Independent,28,13,15,0
Yanderra Public School,Mortlake,Catholic,167,75,92,18
Yarrawarrah Public School,Bateau Bay,Independent,40,27,13,4
Yarrowitch Public School,Young,Independent,80,48,32,10
Yass Public School,Dubbo,Independent,34,17,17,15
Yates Avenue Public School,Port Macquarie,Independent,21,10,11,27
Yenda Public School,Griffith,Independent,27,18,9,12
Yennora Public School,Port Macquarie,Independent,39,19,20,8
Yeo Park Infants School,Minto,Independent,41,18,23,14
Yeoval Central School,East Ballina,Government,641,327,314,13
Yetman Public School,Cooma,Independent,29,12,17,18
Yoogali Public School,Murwillumbah,Independent,11,5,6,78
Young Public School,North Kellyville,Government,354,164,190,4
Yowie Bay Public School,Parramatta,Government,78,36,42,0
Zahra Grammar School,Auburn,Independent,71,30,41,10
